,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1,Matt Ryan\RyanMa00,2016,31,1-3,ATL,NFL,16,16,1,1,1,21
2,Damon Harrison\HarrDa03,2016,28,,NYG,NFL,16,16,1,0,1,18
3,Aaron Rodgers\RodgAa00,2016,33,1-24,GNB,NFL,16,16,1,1,0,18
4,David Bakhtiari\BakhDa00,2016,25,4-109,GNB,NFL,16,16,1,1,0,17
5,Von Miller\MillVo00,2016,27,1-2,DEN,NFL,16,16,1,1,1,17
6,Bobby Wagner\WagnBo00,2016,26,2-47,SEA,NFL,16,16,1,1,1,17
7,Drew Brees\BreeDr00,2016,37,2-32,NOR,NFL,16,16,1,1,0,16
8,Calais Campbell\CampCa99,2016,30,2-50,ARI,NFL,16,16,1,0,0,16
9,Ezekiel Elliott\ElliEz00,2016,21,1-4,DAL,NFL,15,15,1,1,1,16
10,Julio Jones\JoneJu02,2016,27,1-6,ATL,NFL,14,14,1,1,1,16
11,Sean Lee\LeexSe99,2016,30,2-55,DAL,NFL,15,15,1,1,1,16
12,Andrew Luck\LuckAn00,2016,27,1-1,IND,NFL,15,15,1,0,0,16
13,Alex Mack\MackAl20,2016,31,1-21,ATL,NFL,16,16,1,1,0,16
14,Khalil Mack\MackKh00,2016,25,1-5,OAK,NFL,16,16,1,1,1,16
15,Dak Prescott\PresDa01,2016,23,4-135,DAL,NFL,16,16,1,1,0,16
16,Le'Veon Bell\BellLe00,2016,24,2-48,PIT,NFL,12,12,1,1,0,15
17,Jack Conklin\ConkJa00,2016,22,1-8,TEN,NFL,16,16,1,0,1,15
18,Kirk Cousins\CousKi00,2016,28,4-102,WAS,NFL,16,16,1,1,0,15
19,Aaron Donald\DonaAa00,2016,25,1-13,LAR,NFL,16,16,1,1,1,15
20,Devonta Freeman\FreeDe00,2016,24,4-103,ATL,NFL,16,16,1,1,0,15
21,David Johnson\JohnDa08,2016,25,3-86,ARI,NFL,16,16,1,1,1,15
22,Zach Orr\OrrxZa00,2016,24,,BAL,NFL,15,15,1,0,0,15
23,Tyrod Taylor\TaylTy00,2016,27,6-180,BUF,NFL,15,15,1,0,0,15
24,Olivier Vernon\VernOl00,2016,26,3-72,NYG,NFL,16,16,1,0,0,15
25,Chris Harris\HarrCh01,2016,27,,DEN,NFL,16,15,1,1,1,14
26,Dont'a Hightower\HighDo01,2016,26,1-25,NWE,NFL,13,13,1,1,0,14
27,T.Y. Hilton\HiltT.00,2016,27,3-92,IND,NFL,16,16,1,1,0,14
28,Matthew Stafford\StafMa00,2016,28,1-1,DET,NFL,16,16,1,0,0,14
29,Aqib Talib\TaliAq99,2016,30,1-20,DEN,NFL,13,13,1,1,1,14
30,Russell Wilson\WilsRu00,2016,28,3-75,SEA,NFL,16,16,1,0,0,14
31,Tom Brady\BradTo00,2016,39,6-199,NWE,NFL,12,12,1,1,0,13
32,Malcolm Butler\ButlMa01,2016,26,,NWE,NFL,16,16,1,0,0,13
33,Marcus Cannon\CannMa00,2016,28,5-138,NWE,NFL,15,15,1,0,0,13
34,Jadeveon Clowney\ClowJa00,2016,23,1-1,HOU,NFL,14,14,1,1,0,13
35,Landon Collins\CollLa00,2016,22,2-33,NYG,NFL,16,16,1,1,1,13
36,Lavonte David\DaviLa00,2016,26,2-58,TAM,NFL,16,16,1,0,0,13
37,Travis Frederick\FredTr00,2016,25,1-31,DAL,NFL,16,16,1,1,1,13
38,Brandon Graham\GrahBr99,2016,28,1-13,PHI,NFL,16,16,1,0,0,13
39,Everson Griffen\GrifEv99,2016,29,4-100,MIN,NFL,16,16,1,1,0,13
40,Marcus Mariota\MariMa01,2016,23,1-2,TEN,NFL,15,15,1,0,0,13
41,Zack Martin\MartZa00,2016,26,1-16,DAL,NFL,16,16,1,1,1,13
42,LeSean McCoy\McCoLe01,2016,28,2-53,BUF,NFL,15,15,1,1,0,13
43,Benardrick McKinney\McKiBe00,2016,24,2-43,HOU,NFL,16,16,1,0,0,13
44,Whitney Mercilus\MercWh00,2016,26,1-26,HOU,NFL,15,15,1,0,0,13
45,C.J. Mosley\MoslC.00,2016,24,1-17,BAL,NFL,14,14,1,1,0,13
46,Jordy Nelson\NelsJo00,2016,31,2-36,GNB,NFL,16,16,1,0,0,13
47,Alec Ogletree\OgleAl00,2016,25,1-30,LAR,NFL,16,16,1,0,0,13
48,Marcus Peters\PeteMa00,2016,23,1-18,KAN,NFL,15,15,1,1,1,13
49,Philip Rivers\RivePh00,2016,35,1-4,SDG,NFL,16,16,1,1,0,13
50,Tyron Smith\SmitTy00,2016,26,1-9,DAL,NFL,13,13,1,1,1,13
