RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport,State,TeamName,Roster,Payroll
1,Oakland,81,1476792,18232,52,2011,mlb,CA,A's,45,76483048
2,Tampa Bay,81,1529188,18878,55.4,2011,mlb,FL,Rays,38,46098532
3,Florida,80,1520562,19007,48.8,2011,mlb,FL,Marlins,41,65287393
4,Kansas City,81,1724450,21289,56.2,2011,mlb,MO,Royals,34,40693273
5,Baltimore,80,1755461,21943,48.3,2011,mlb,MD,Orioles,49,94391741
6,Toronto,81,1818103,22445,45.6,2011,mlb,TT,Blue Jays,38,73491604
7,Cleveland,81,1840835,22726,52.3,2011,mlb,OH,Indians,45,55960593
8,Seattle,81,1896321,23411,48.9,2011,mlb,WA,Mariners,42,101429148
9,Pittsburgh,80,1940429,24255,63.2,2011,mlb,PA,Pirates,45,48592727
10,Chicago White Sox,81,2001117,24705,60.8,2011,mlb,IL,White Sox,40,130623749
11,Washington,78,1940478,24877,59.9,2011,mlb,DC,Nationals,44,74988723
12,Houston,81,2067016,25518,62.3,2011,mlb,TX,Astros,42,85574503
13,Arizona,81,2105432,25992,53.4,2011,mlb,AZ,Diamondbacks,38,65784971
14,San Diego,81,2143018,26457,62,2011,mlb,CA,Padres,37,48018810
15,Cincinnati,81,2213498,27327,64.6,2011,mlb,OH,Reds,38,81920546
16,Atlanta,79,2372940,30037,60.4,2011,mlb,GA,Braves,43,99830230
17,NY Mets,79,2378549,30108,72,2011,mlb,NY,Mets,38,141831841
18,Detroit,81,2642045,32617,79.1,2011,mlb,MI,Tigers,36,111521015
19,Colorado,81,2909777,35923,71.1,2011,mlb,CO,Rockies,32,83262170
20,LA Dodgers,81,2935139,36236,64.7,2011,mlb,CA,Dodgers,41,118668615
21,Texas,81,2946949,36382,74,2011,mlb,TX,Rangers,39,103741721
22,Chicago Cubs,81,3017966,37258,90.5,2011,mlb,IL,Cubs,40,139477698
23,Boston,81,3054001,37703,101.7,2011,mlb,MA,Red Sox,47,172553261
24,Milwaukee,81,3071373,37918,90.5,2011,mlb,WI,Brewers,45,92127802
25,St. Louis,81,3093954,38196,86.9,2011,mlb,MO,Cardinals,39,116857312
26,LA Angels,81,3166321,39090,86.1,2011,mlb,CA,Angels,38,146648559
27,Minnesota,81,3168107,39112,99,2011,mlb,MN,Twins,29,113979594
28,San Francisco,81,3387303,41818,99.8,2011,mlb,CA,Giants,39,125982250
29,NY Yankees,81,3653680,45107,89.7,2011,mlb,NY,Yankees,41,213559678
30,Philadelphia,81,3680718,45440,104.1,2011,mlb,PA,Phillies,38,169968182
1,Tampa Bay,81,1559681,19255,56.5,2012,mlb,FL,Rays,38,70242330
2,Cleveland,81,1603596,19797,45.6,2012,mlb,OH,Indians,51,77319538
3,Houston,81,1607733,19848,48.5,2012,mlb,TX,Astros,43,54547239
4,Oakland,81,1679013,20728,60.6,2012,mlb,CA,A's,45,58973573
5,Seattle,81,1721920,21258,44.4,2012,mlb,WA,Mariners,45,84439430
6,Kansas City,80,1739859,21748,57.4,2012,mlb,MO,Royals,45,70344235
7,Chicago White Sox,81,1965955,24271,59.8,2012,mlb,IL,White Sox,40,108972203
8,Toronto,81,2099663,25921,52.6,2012,mlb,TT,Blue Jays,42,97293922
9,Pittsburgh,80,2091918,26148,68.2,2012,mlb,PA,Pirates,44,61803269
10,San Diego,81,2123721,26218,61.4,2012,mlb,CA,Padres,39,63839413
11,Baltimore,79,2102240,26610,58.6,2012,mlb,MD,Orioles,41,83725868
12,Arizona,81,2177617,26884,55.3,2012,mlb,AZ,Diamondbacks,41,82959205
13,Miami,81,2219444,27400,73.2,2012,mlb,FL,Marlins,40,98392974
14,NY Mets,80,2242803,28035,67.1,2012,mlb,NY,Mets,43,105869476
15,Cincinnati,81,2347251,28978,68.5,2012,mlb,OH,Reds,40,89901498
16,Atlanta,81,2420171,29878,60.1,2012,mlb,GA,Braves,37,97928056
17,Washington,79,2370794,30010,72.3,2012,mlb,DC,Nationals,43,98256813
18,Colorado,81,2630458,32474,64.3,2012,mlb,CO,Rockies,43,88210881
19,Minnesota,81,2776354,34275,86.8,2012,mlb,MN,Twins,49,109130327
20,Milwaukee,81,2831385,34955,83.4,2012,mlb,WI,Brewers,47,110905300
21,Chicago Cubs,81,2882756,35589,86.5,2012,mlb,IL,Cubs,50,116341526
22,Detroit,81,3028033,37383,90.6,2012,mlb,MI,Tigers,42,144262284
23,Boston,81,3043003,37567,101.4,2012,mlb,MA,Red Sox,47,175279051
24,LA Angels,81,3061770,37799,83.3,2012,mlb,CA,Angels,36,157168625
25,St. Louis,81,3262109,40272,91.6,2012,mlb,MO,Cardinals,44,120461369
26,LA Dodgers,81,3324246,41040,73.3,2012,mlb,CA,Dodgers,45,120784717
27,San Francisco,81,3377371,41695,99.5,2012,mlb,CA,Giants,41,137523205
28,Texas,81,3460280,42719,86.9,2012,mlb,TX,Rangers,40,138226346
29,NY Yankees,81,3542406,43733,87,2012,mlb,NY,Yankees,42,228495456
30,Philadelphia,81,3565718,44021,100.8,2012,mlb,PA,Phillies,45,179900523
1,Tampa Bay,81,1510300,18645,54.7,2013,mlb,FL,Rays,40,74572903
2,Miami,81,1586322,19584,52.3,2013,mlb,FL,Marlins,35,36028542
3,Cleveland,80,1572926,19661,45.3,2013,mlb,OH,Indians,34,93008897
4,Houston,81,1651883,20393,49.8,2013,mlb,TX,Astros,33,35567913
5,Kansas City,81,1750754,21614,57,2013,mlb,MO,Royals,39,84398434
6,Seattle,81,1761546,21747,45.4,2013,mlb,WA,Mariners,34,83220022
7,Chicago White Sox,80,1768413,22105,54.4,2013,mlb,IL,White Sox,35,111777595
8,Oakland,81,1809302,22337,63.7,2013,mlb,CA,A's,38,67055517
9,Arizona,81,2134795,26355,54.2,2013,mlb,AZ,Diamondbacks,33,88316478
10,NY Mets,80,2135657,26695,63.9,2013,mlb,NY,Mets,38,101300814
11,San Diego,81,2166691,26749,62.7,2013,mlb,CA,Padres,40,73286341
12,Pittsburgh,80,2256862,28210,73.5,2013,mlb,PA,Pirates,37,71480984
13,Baltimore,81,2357561,29105,64.1,2013,mlb,MD,Orioles,40,100415869
14,Minnesota,81,2477644,30588,77.4,2013,mlb,MN,Twins,35,81458898
15,Milwaukee,81,2531105,31248,74.6,2013,mlb,WI,Brewers,35,88221045
16,Cincinnati,81,2534369,31288,73.9,2013,mlb,OH,Reds,34,103804640
17,Toronto,81,2536562,31315,63.6,2013,mlb,TT,Blue Jays,41,131771168
18,Atlanta,81,2548679,31465,63.3,2013,mlb,GA,Braves,35,94947950
19,Chicago Cubs,81,2642682,32625,79.3,2013,mlb,IL,Cubs,38,100052899
20,Washington,81,2652422,32745,78.9,2013,mlb,DC,Nationals,38,116883274
21,Colorado,81,2793828,34491,68.3,2013,mlb,CO,Rockies,39,79271624
22,Boston,81,2833333,34979,94.4,2013,mlb,MA,Red Sox,41,170734264
23,Philadelphia,81,3012403,37190,85.2,2013,mlb,PA,Phillies,40,163536898
24,LA Angels,81,3019505,37277,82.1,2013,mlb,CA,Angels,35,141435103
25,Detroit,81,3083397,38066,92.3,2013,mlb,MI,Tigers,32,155223539
26,Texas,82,3178273,38759,78.8,2013,mlb,TX,Rangers,39,137937146
27,NY Yankees,81,3279589,40488,80.5,2013,mlb,NY,Yankees,39,239288940
28,San Francisco,80,3326796,41584,99.2,2013,mlb,CA,Giants,37,140280186
29,St. Louis,81,3369769,41602,94.6,2013,mlb,MO,Cardinals,38,120516627
30,LA Dodgers,81,3743527,46216,82.5,2013,mlb,CA,Dodgers,39,239894375
1,Tampa Bay,81,1446464,17857,52.4,2014,mlb,FL,Rays,40,76821046
2,Cleveland,78,1437393,18428,42.4,2014,mlb,OH,Indians,33,84369908
3,Chicago White Sox,79,1650821,20896,51.5,2014,mlb,IL,White Sox,31,89221236
4,Miami,81,1732283,21386,57.1,2014,mlb,FL,Marlins,34,50671396
5,Houston,81,1751829,21627,52.8,2014,mlb,TX,Astros,38,51679490
6,Kansas City,81,1956482,24154,63.7,2014,mlb,MO,Royals,36,98558300
7,Oakland,80,2003628,25045,71.4,2014,mlb,CA,A's,35,93518412
8,Seattle,81,2064334,25485,53.2,2014,mlb,WA,Mariners,39,107034174
9,Arizona,81,2073730,25601,54,2014,mlb,AZ,Diamondbacks,40,106482519
10,NY Mets,80,2148808,26860,64.3,2014,mlb,NY,Mets,33,94478037
11,San Diego,81,2195373,27103,63.5,2014,mlb,CA,Padres,39,85001967
12,Minnesota,81,2250606,27785,70.3,2014,mlb,MN,Twins,34,87494478
13,Atlanta,81,2354305,29065,58.4,2014,mlb,GA,Braves,39,116865707
14,Toronto,81,2375525,29327,59.5,2014,mlb,TT,Blue Jays,37,141812172
15,Philadelphia,81,2423852,29924,68.6,2014,mlb,PA,Phillies,30,175061605
16,Pittsburgh,81,2442564,30155,78.6,2014,mlb,PA,Pirates,31,76974115
17,Cincinnati,81,2476664,30576,72.3,2014,mlb,OH,Reds,35,113351318
18,Baltimore,80,2464473,30805,67.8,2014,mlb,MD,Orioles,36,113562943
19,Washington,81,2579389,31844,76.7,2014,mlb,DC,Nationals,38,149470982
20,Chicago Cubs,81,2652113,32742,79.6,2014,mlb,IL,Cubs,38,89539741
21,Colorado,81,2680329,33090,65.5,2014,mlb,CO,Rockies,39,96659578
22,Texas,81,2718733,33564,68.3,2014,mlb,TX,Rangers,47,139630583
23,Milwaukee,81,2797384,34535,82.4,2014,mlb,WI,Brewers,36,110577046
24,Detroit,81,2917209,36014,87.3,2014,mlb,MI,Tigers,35,171996220
25,Boston,81,2956089,36494,98.5,2014,mlb,MA,Red Sox,38,170095758
26,LA Angels,81,3095935,38221,84.2,2014,mlb,CA,Angels,41,165403251
27,San Francisco,81,3368697,41588,99.2,2014,mlb,CA,Giants,42,171336782
28,NY Yankees,80,3401624,42520,85.7,2014,mlb,NY,Yankees,37,214898031
29,St. Louis,81,3540649,43711,99.4,2014,mlb,MO,Cardinals,38,121232929
30,LA Dodgers,81,3782337,46695,83.4,2014,mlb,CA,Dodgers,35,246367142
1,Tampa Bay,81,1247668,15403,45.2,2015,mlb,FL,Rays,35,73582652
2,Cleveland,78,1388905,17806,41,2015,mlb,OH,Indians,36,77404413
3,Miami,81,1752235,21632,57.8,2015,mlb,FL,Marlins,32,63590525
4,Oakland,81,1768175,21829,62.3,2015,mlb,CA,A's,34,80376830
